Species	RT10	RT11	RT12	RT13	RT21	RT22	RT23	RT24	RT25	RT26	RT27	RT28	RT29	RT30	RT31	RT32	RT33	RT34	RT56	RT57	RT58	RT59	RT60	RT61	RT62	RT69	RT70	RT71	RT72	RT73	RT74	RT75	RT76	RT77	RT78	RT79	RT8	RT80	RT81	RT9
Rhodotorula_kratochvilovae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodotorula_kratochvilovae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linnemannia_camargensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudeurotium_desertorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	8	0	0	10	0	0	0	13	15	0	0	4	0	0	19	17	0	0	0	23903	34000	6971	4	34	8	6	0	0	4	6	191	0	20	0
Linnemannia_camargensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudeurotium_desertorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	79	0	94	0	0	91	0	0	56	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0
Linnemannia_amoeboidea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fonsecaea_nubica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	7136	57	0	8	0	0	48423	0	19507	0	0	8816	0	0	0	0	256	0	0	0	91	101	0	0	0	39	0	0	0	61	0	0	0	0	0	56	35911	0	74	46107
Solicoccozyma_aeria	0	0	0	0	71	867	11	5	0	0	0	913	42	0	521	246	0	0	0	0	24	14	0	0	0	0	0	0	0	0	204	11	2173	148	204	26	0	0	20	0
Mrakia_niccombsii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linnemannia_camargensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
